“bor_subb”,“SubBorough”,“1990”,“2000”,“2005”,“2006”,“2007”,“2008”,,People,“1990”,“2000”,“2005”,“2006”,“2007”,“2008”,,No of Educated People,“1990”,“2000”,“2005”,“2006”,“2007”,“2008”,,Stop and Frisks,“1990”,“2000”,“2005”,“2006”,“2007”,“2008”,,,“1990”,“2000”,“2005”,“2006”,“2007”,“2008”,,“1990”,“2000”,“2005”,“2006”,“2007”,“2008”
308,Chelsea/Clinton/Midtown,48.467978,60.5855945,68.6344769,68.1378364,69.0070594,66.05527864,,,120836,122241,133175,131439,133169,145155,,,58566.7659,74060.43657,91403.96461,89559.69079,91896.01093,95882.53971,0.011464116,,,,,,,18519,0.002214209,,,,,,,0.193142569,,,,,,,0.002724744
303,Coney Island,13.334451,23.2781071,31.7406656,33.3790921,32.5534455,27.15471324,,,110970,116138,109576,103687,108484,104974,,,14797.24027,27034.72802,34780.15174,34609.77923,35315.27982,28505.38868,0.003408223,,,,,,,17362,0.002075873,,,,,,,0.60907782,,,,,,,0.000810052
213,East Flatbush,12.686029,15.0463959,20.796174,18.6196067,17.4310674,18.39168991,,,140614,145263,143392,147390,135649,147017,,,17838.33282,21856.84608,29820.04982,27443.43832,23645.06862,27038.91075,0.003232885,,,,,,,6635,0.000793308,,,,,,,0.245387104,,,,,,,0.000768379
217,East Harlem,11.560357,14.2375044,25.7352199,21.9926182,21.8157961,23.68788521,,,108654,115433,109772,134287,121457,126609,,,12560.79029,16434.77845,28250.06559,29533.2272,26496.81147,29990.99459,0.003585848,,,,,,,5832,0.000697298,,,,,,,0.194458373,,,,,,,0.00085227
309,East New York/Starrett City,6.946109,9.7376936,16.1178672,11.5910616,14.9439853,13.70786274,,,136753,146857,143543,161064,158711,156855,,,9499.012441,14300.48469,23136.07011,18669.02746,23717.74851,21501.4681,0.002570805,,,,,,,23918,0.002859736,,,,,,,1.112389158,,,,,,,0.000611018
205,Elmhurst/Corona,17.924577,19.7874576,22.7395226,22.0871938,18.4399124,21.77253423,,,116362,142022,139422,138593,140182,143406,,,20857.39629,28102.54303,31703.8972,30611.3045,25849.438,31223.12044,0.003733166,,,,,,,21949,0.002624314,,,,,,,0.702972659,,,,,,,0.000887284
404,Flatbush,22.59638,24.7474797,28.9470985,31.8634951,30.8028523,28.2617087,,,157775,166315,156685,163099,160783,172592,,,35651.43855,41158.77086,45355.76128,51969.04187,49525.75001,48777.44828,0.005832035,,,,,,,7190,0.000859666,,,,,,,0.147404185,,,,,,,0.001386134
214,Flatlands/Canarsie,18.059614,22.4218412,25.1649834,27.9160427,29.5918598,26.59037941,,,162759,194836,188016,204600,202387,206947,,,29393.64715,43685.81852,47314.19519,57116.22336,59890.07729,55027.99248,0.006579376,,,,,,,8768,0.001048339,,,,,,,0.159337087,,,,,,,0.001563759
218,Flushing/Whitestone,24.583317,28.1152228,31.8173118,30.7950771,33.9410427,32.47790409,,,221261,243690,241947,246542,234382,254571,,,54393.29303,68513.98644,76981.03138,75922.79898,79551.6947,82679.32522,0.009885484,,,,,,,8648,0.001033991,,,,,,,0.104596887,,,,,,,0.002349541
407,Greenwich Village/Financial District,59.033789,69.139481,77.0743025,76.2885249,75.4029744,78.31754716,,,117862,125567,126659,147198,139597,152633,,,69578.40439,86816.37211,97621.5408,112295.1829,105260.2902,119538.4218,0.014292512,,,,,,,7863,0.000940133,,,,,,,0.065778014,,,,,,,0.003396985
